srNo,sys_gUid,uniqueId,createdBy,createdDate,lastUpdatedBy,lastUpdatedDate,constructionType,streetNameFrom,streetNameTo,routeName,mileMarkerStart,mileMarkerEnd,travelRestriction,plannedStartDate,plannedEndDate,closureStatus,actualStartDate,actualEndDate,permitDocument,permitID,imageUrl,imageName/Description
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZonec4f4b785-a113-4b60-b4fd-002d31f159d9Weekly%20Traffic%20Monitoring%20Report%20Week%20of%204-6.pdf,Weekly Traffic Monitoring Report 4-6 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone25aa0415-8d52-42a1-ada1-9b00590d4361Weekly%20Traffic%20Monitoring%20Report%20Week%20of%204-13.pdf,Weekly Traffic Monitoring Report 4-13 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone863e3954-a418-4d29-9747-729ace9b47a9Weekly%20Traffic%20Monitoring%20Report%20Week%20of%204-20.pdf,Weekly Traffic Monitoring Report 4-20 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZonedfe512c8-54d2-43ca-a7a2-defad91fd254Weekly%20Traffic%20Monitoring%20Report%20Week%20of%205-4.pdf,Weekly Traffic Monitoring Report 5-4 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone53c39b3a-64e7-4745-92f2-a099c2c59fa2Weekly%20Traffic%20Monitoring%20Report%20Week%20of%205-11.pdf,Weekly Traffic Monitoring Report 5-11 / 
8,ConstructionWorkZone-8bcb3827-6a69-4e65-abe2-4f9bca0a0f83,5dbafcafbc698b003b25e870,jvue@navjoyinc.com.gwv,2019-10-31T15:24:31.513Z,nnageli@navjoyinc.com.gwv,2020-09-16T20:22:02.680Z,Median Work,University Blvd,Quebec St,Belleview Ave,11.560,14.613,,11-04-2019 02:00,06-01-2020 02:00,Active,10-02-2019 10:00,,"name : CDOT Permit, description :  Permit for construction, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZone26b2c245-ad10-4c89-8921-a610994237f3CDOT_Permit_Completed10-17-19.pdf",1190694,https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/Greenwood%20Village/documents/ConstructionWorkZonedd4aacd9-f111-4ef8-95ac-f0116d130fb2Weekly%20Traffic%20Monitoring%20Report%20Week%20of%205-18.pdf,Weekly Traffic Monitoring Report 5-18 / 
9,ConstructionWorkZone-1c1d2d9f-f38f-4fb3-a8e1-bf224fb90943,5de3886c8f48df003bac0f25,nnageli@navjoyinc.com.cdotgov,2019-12-01T09:31:24.227Z,nnageli@navjoyinc.com.cdotgov,2019-12-01T09:33:41.985Z,Road,test,Edwards Access Rd,US 6,166,166,"(Sunday, May 26, 2019 - Saturday, June 1, 2019) : Delays Possible,Flagger Operations,Speeds Reduced,Traffic Shift,Width Restrictions: 12 Ft.,No Weekend Work,Trucks Entering and Exiting Work Zone",04-14-2019 22:00,04-30-2020 02:00,Active,05-09-2019 22:00,,"name : US 6 EB/WB south of I-70, description :  Road Construction Permit, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Gov/documents/undefinedb9b99f01-1f65-44c5-a3c5-b3ecaae858a5Permit%20Document%20for%20Work%20Zones.docx",2468,,
10,ConstructionWorkZone-8b05b7a4-a821-4ba3-a4f5-956567f32c26,5de8c28f34724f003b4d3ef2,jhealey@navjoyinc.com.ny,2019-12-05T08:40:47.378Z,jhealey@navjoyinc.com.ny,2019-12-05T08:40:47.378Z,Road,,,,,,,12-04-2019 13:30,12-04-2019 13:30,Planned,12-04-2019 14:31,,,,,
11,ConstructionWorkZone-5e6e0f6a-1f75-4f3b-b719-4139aae15c2a,5de8c28f34724f003b4d3ef3,jhealey@navjoyinc.com.ny,2019-12-05T08:40:47.859Z,jhealey@navjoyinc.com.ny,2019-12-05T08:40:47.859Z,Road,,,,,,,12-04-2019 13:30,12-04-2019 13:30,Planned,12-04-2019 14:31,,,,,
12,ConstructionWorkZone-6886e274-11d6-4b3b-8ef9-36828c01e92d,5dfba5cec46a6e0046e386c4,nnageli@navjoyinc.com.cdotgov,2019-12-19T16:31:10.675Z,nnageli@navjoyinc.com.cdotgov,2019-12-19T16:31:10.675Z,Road,University,Quebec,88,11.56,14.613,,11-04-2019 02:00,06-01-2020 02:00,Planned,,,,,,
13,ConstructionWorkZone-bfccd87b-43d7-4b02-bb10-a28f69109d03,5e31b75eee1444003b98abce,djoslin@navjoyinc.com.gwv,2020-01-29T16:48:30.830Z,djoslin@navjoyinc.com.gwv,2020-01-29T16:48:30.830Z,Traffic Signal Installation,Glenmoor Dr/S. Steele St,Glenmoor Dr/S. Steele St,Belleview Ave,12.05,12.15,Various lane closures,02-03-2020 02:00,05-01-2020 02:00,Planned,02-03-2020 02:00,05-01-2020,,,,
14,ConstructionWorkZone-9e794601-310e-47ed-9b66-2f8d969ec189,5f7e2263f7e63200391a8a90,melaku.ameneshoa@state.co.us,2020-10-07T20:17:39.947Z,melaku.ameneshoa@state.co.us,2021-05-21T14:09:27.870Z,Traffic Signal Installation,Glencoe St.,Jersey St.,US 40,301.0,301.75,Daily Right Lane Closure,12-14-2020 15:30,06-30-2021 15:30,Active,10-20-2020 16:16,06-30-2021,,,,
15,ConstructionWorkZone-17a11a46-294f-486a-a276-4e7d2c97a142,5f7e279bf7e63200391a8ae2,melaku.ameneshoa@state.co.us,2020-10-07T20:39:55.637Z,melaku.ameneshoa@state.co.us,2021-05-21T14:07:59.318Z,Traffic Signal Installation,W. Exposition Ave.,W. Mississippi Ave.,US 88A,2.48,3.0,,12-07-2020 16:23,05-15-2021 16:23,Active,10-20-2020 16:39,10-20-2020,,,,
16,ConstructionWorkZone-a5ff2fd6-94bf-4496-956f-b0263d74b7af,5fbd4adf756b2d003be3aca8,jvue@navjoyinc.com.cdotr1,2020-11-24T18:03:11.060Z,melaku.ameneshoa@state.co.us,2021-05-21T14:10:44.383Z,Traffic Signal Installation,44th Ave.,40th Ave.,US 287,42.5,48.1,Daily Right Lane Closure,12-14-2020 13:01,06-30-2021 02:00,Active,12-16-2020 14:13,,,2020-7652,,
17,ConstructionWorkZone-a9e2a401-a349-4b15-92e3-52cd93680630,5fcc7f75cbfe75003b5c0dd2,sblead@test.com,2020-12-06T06:51:33.981Z,sblead@test.com,2020-12-06T06:51:33.981Z,Road,,,,,,,,,Planned,,,,,,
18,ConstructionWorkZone-4b2719b3-7cf7-4038-9902-5362f3002a40,603515bf89e5df003a2eae6e,nnageli@navjoyinc.com.cdotr1,2021-02-23T14:48:31.754Z,zroszel@navjoyinc.com.cdotr1,2021-04-20T18:01:16.269Z,Lane Expansion,Belleview Ave,Bowles Ave,C-470,21.9,22.3,Right lane both directions,01-05-2021 09:40,07-31-2021 09:40,Active,12-24-2020 09:44,,"name : CDOT Permit , description :  Expires June 30, 2021, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Region%201/Files/590d3daa-1eaa-4e2d-b3c3-ca7b998e41f1CDOT%20Permit%20 / name : Method Of Handling Traffic, description :  Prepared by HDR, url : https://assetgovprod.s3-us-west-2.amazonaws.com/Documents/CDOT%20Region%201/Files/c9409ba2-83e6-49ce-b1ff-c1eb902803ecMethod%20Of%20Handling%20Traffic",2021-1098A,,
19,ConstructionWorkZone-6cf19f07-f259-40a6-8ea3-e1fb63b870e9,603c7d168b7430fa827f92ff,contractor@navjoyinc.com,2021-03-01T09:00:08.113Z,contractor@navjoyinc.com,2021-03-01T09:00:08.113Z,,,,,,,,,,,,,,,,
20,ConstructionWorkZone-c46cbe89-8e1e-499c-a2a6-1ea6aea7cfd1,603c7d168b7430fa827f9302,contractor@navjoyinc.com,2021-03-01T14:25:13.906Z,contractor@navjoyinc.com,2021-03-01T14:25:13.906Z,,,,,,,,,,,,,,,,
21,ConstructionWorkZone-83fdbcb0-f9f8-42c5-8461-e84169c465de,603c7d168b7430fa827f930c,contractor@navjoyinc.com,2021-03-01T07:35:09.323Z,contractor@navjoyinc.com,2021-03-01T07:35:09.323Z,,,,,,,,,,,,,,,,
22,ConstructionWorkZone-2e995d96-ec5e-4884-ab0d-9c4266973c6f,603c7d168b7430fa827f9317,contractor@navjoyinc.com,2021-03-01T08:55:06.809Z,contractor@navjoyinc.com,2021-03-01T08:55:06.809Z,,,,,,,,,,,,,,,,
23,ConstructionWorkZone-58c21c9e-087a-4f58-a878-0de05c984c75,603c7d168b7430fa827f9334,contractor@navjoyinc.com,2021-03-01T10:40:10.333Z,contractor@navjoyinc.com,2021-03-01T10:40:10.333Z,,,,,,,,,,,,,,,,
24,ConstructionWorkZone-71be3645-4371-4a5e-bca3-7ca2c052f665,603c7d168b7430fa827f9380,contractor@navjoyinc.com,2021-03-01T09:25:13.616Z,contractor@navjoyinc.com,2021-03-01T09:25:13.616Z,,,,,,,,,,,,,,,,
25,ConstructionWorkZone-ac17cfb3-cdcf-4a22-9288-6bf0222d3cb9,603c7d168b7430fa827f9383,contractor@navjoyinc.com,2021-03-01T11:50:06.508Z,contractor@navjoyinc.com,2021-03-01T11:50:06.508Z,,,,,,,,,,,,,,,,
26,ConstructionWorkZone-c950967d-1687-457e-a648-99b74f9ae8a6,603c7d168b7430fa827f938c,contractor@navjoyinc.com,2021-03-01T07:00:11.580Z,contractor@navjoyinc.com,2021-03-01T07:00:11.580Z,,,,,,,,,,,,,,,,
27,ConstructionWorkZone-2dff9d45-1f8d-4570-8ea8-145347eac5d0,603c7d168b7430fa827f938f,contractor@navjoyinc.com,2021-03-01T05:55:06.795Z,contractor@navjoyinc.com,2021-03-01T05:55:06.795Z,,,,,,,,,,,,,,,,
28,ConstructionWorkZone-fbb998a7-330b-4a3e-a2f9-efcc90c7110e,603c82e78b7430fa82806c0c,contractor@navjoyinc.com,2021-03-01T06:00:07.946Z,contractor@navjoyinc.com,2021-03-01T06:00:07.946Z,,,,,,,,,,,,,,,,
29,ConstructionWorkZone-18298289-4432-4902-b0f6-21b128583c06,603c84158b7430fa82808d29,contractor@navjoyinc.com,2021-03-01T06:20:12.348Z,contractor@navjoyinc.com,2021-03-01T06:20:12.348Z,,,,,,,,,,,,,,,,
30,ConstructionWorkZone-95e301db-1ba5-4dd5-8bd1-ec9d60e8b921,603c88c98b7430fa82813439,contractor@navjoyinc.com,2021-03-01T18:00:13.903Z,contractor@navjoyinc.com,2021-03-01T18:00:13.903Z,,,,,,,,,,,,,,,,
31,ConstructionWorkZone-d6f71297-19e5-429d-90c5-cf920abdbb97,603c88c98b7430fa8281345d,contractor@navjoyinc.com,2021-03-01T06:45:08.252Z,contractor@navjoyinc.com,2021-03-01T06:45:08.252Z,,,,,,,,,,,,,,,,
32,ConstructionWorkZone-08fd1ca7-dd0b-4df6-bcc1-558ed841f33e,603c92288b7430fa8282a459,contractor@navjoyinc.com,2021-03-01T12:35:08.056Z,contractor@navjoyinc.com,2021-03-01T12:35:08.056Z,,,,,,,,,,,,,,,,
33,ConstructionWorkZone-04edea8a-48f5-4d3d-beca-9ae3a6f95055,603c9a5a8b7430fa82838396,contractor@navjoyinc.com,2021-03-01T15:15:05.341Z,contractor@navjoyinc.com,2021-03-01T15:15:05.341Z,,,,,,,,,,,,,,,,
34,ConstructionWorkZone-e4be0790-a725-4928-a2a4-d3e62473e793,603c9de18b7430fa8283c75b,contractor@navjoyinc.com,2021-03-01T07:55:13.670Z,contractor@navjoyinc.com,2021-03-01T07:55:13.670Z,,,,,,,,,,,,,,,,
35,ConstructionWorkZone-bbcc9f21-6c18-42d1-aec5-fa4b95e9a502,603c9f128b7430fa8283d45b,contractor@navjoyinc.com,2021-03-01T08:00:18.115Z,contractor@navjoyinc.com,2021-03-01T08:00:18.115Z,,,,,,,,,,,,,,,,
36,ConstructionWorkZone-31ad3f8f-f05d-4051-aa90-f7cf748cd48e,603ca15f8b7430fa828411bf,contractor@navjoyinc.com,2021-03-01T08:10:07.153Z,contractor@navjoyinc.com,2021-03-01T08:10:07.153Z,,,,,,,,,,,,,,,,
37,ConstructionWorkZone-8f39237e-ef4e-4bf6-9933-e73be8566029,603cae458b7430fa8284b085,contractor@navjoyinc.com,2021-03-01T12:05:10.359Z,contractor@navjoyinc.com,2021-03-01T12:05:10.359Z,,,,,,,,,,,,,,,,
38,ConstructionWorkZone-6295ccf5-0f82-4c84-a438-584015dee35e,603cb5498b7430fa828534fd,contractor@navjoyinc.com,2021-03-01T10:10:13.602Z,contractor@navjoyinc.com,2021-03-01T10:10:13.602Z,,,,,,,,,,,,,,,,
39,ConstructionWorkZone-63c07825-7e87-49d9-b115-82ff3edfef89,603cbeb28b7430fa82860034,contractor@navjoyinc.com,2021-03-01T11:50:06.508Z,contractor@navjoyinc.com,2021-03-01T11:50:06.508Z,,,,,,,,,,,,,,,,
40,ConstructionWorkZone-bb5968f4-9c89-4bcd-a956-d6f322cd4628,603cc5b78b7430fa82865ee5,contractor@navjoyinc.com,2021-03-01T12:35:08.055Z,contractor@navjoyinc.com,2021-03-01T12:35:08.055Z,,,,,,,,,,,,,,,,
41,ConstructionWorkZone-e3c35007-a306-46da-9def-f6803dc7222d,603cd9a38b7430fa82873232,contractor@navjoyinc.com,2021-03-01T12:20:14.164Z,contractor@navjoyinc.com,2021-03-01T12:20:14.164Z,,,,,,,,,,,,,,,,
42,ConstructionWorkZone-4d043750-4cec-40aa-9039-da715cffe918,603cdad08b7430fa82873880,contractor@navjoyinc.com,2021-03-01T23:55:06.319Z,contractor@navjoyinc.com,2021-03-01T23:55:06.319Z,,,,,,,,,,,,,,,,
43,ConstructionWorkZone-a202f5b8-5af2-4d1e-bfba-427c290ccad1,603cdbfe8b7430fa82873f66,contractor@navjoyinc.com,2021-03-01T20:25:07.796Z,contractor@navjoyinc.com,2021-03-01T20:25:07.796Z,,,,,,,,,,,,,,,,
44,ConstructionWorkZone-115173f0-8a92-48ba-860b-e111cb999d55,603cdd218b7430fa828746d0,contractor@navjoyinc.com,2021-03-01T12:25:05.363Z,contractor@navjoyinc.com,2021-03-01T12:25:05.363Z,,,,,,,,,,,,,,,,
45,ConstructionWorkZone-15eb46b0-93eb-4bd9-bd69-193802fa74c2,603ce0a98b7430fa82875991,contractor@navjoyinc.com,2021-03-01T12:55:13.212Z,contractor@navjoyinc.com,2021-03-01T12:55:13.212Z,,,,,,,,,,,,,,,,
46,ConstructionWorkZone-08681f83-d234-43c4-9348-6c59858391f0,603ce6818b7430fa82877794,contractor@navjoyinc.com,2021-03-01T16:50:10.506Z,contractor@navjoyinc.com,2021-03-01T16:50:10.506Z,,,,,,,,,,,,,,,,
47,ConstructionWorkZone-50f31015-0323-45ba-9bd1-83963523373d,603ce6818b7430fa82877797,contractor@navjoyinc.com,2021-03-01T13:15:08.106Z,contractor@navjoyinc.com,2021-03-01T13:15:08.106Z,,,,,,,,,,,,,,,,
48,ConstructionWorkZone-d5d48102-5fac-4b81-9984-6cabd0d8db29,603cea0a8b7430fa82878ac6,contractor@navjoyinc.com,2021-03-01T13:35:12.467Z,contractor@navjoyinc.com,2021-03-01T13:35:12.467Z,,,,,,,,,,,,,,,,
49,ConstructionWorkZone-2180742e-3b7a-4c8a-8d06-11a966c220ab,603cea0a8b7430fa82878add,contractor@navjoyinc.com,2021-03-01T13:35:12.467Z,contractor@navjoyinc.com,2021-03-01T13:35:12.467Z,,,,,,,,,,,,,,,,
50,ConstructionWorkZone-3a1ff955-d25a-4712-b2f5-6c7053c68b21,603cec638b7430fa8287972f,contractor@navjoyinc.com,2021-03-01T14:05:09.360Z,contractor@navjoyinc.com,2021-03-01T14:05:09.360Z,,,,,,,,,,,,,,,,
51,ConstructionWorkZone-563231d4-a359-46b4-8ffc-82f49abe670a,603ceebd8b7430fa8287a3ee,contractor@navjoyinc.com,2021-03-02T00:55:09.890Z,contractor@navjoyinc.com,2021-03-02T00:55:09.890Z,,,,,,,,,,,,,,,,
52,ConstructionWorkZone-c4ab6b52-40a8-4d9a-bd63-353a30788f1d,603ceebd8b7430fa8287a434,contractor@navjoyinc.com,2021-03-01T13:40:13.616Z,contractor@navjoyinc.com,2021-03-01T13:40:13.616Z,,,,,,,,,,,,,,,,
53,ConstructionWorkZone-d830c6cd-8fb0-4633-93d2-4b78798fd328,603ceebd8b7430fa8287a440,contractor@navjoyinc.com,2021-03-01T21:55:08.753Z,contractor@navjoyinc.com,2021-03-01T21:55:08.753Z,,,,,,,,,,,,,,,,
54,ConstructionWorkZone-16085dcf-56bd-4661-9645-f47540f7ae63,603cefea8b7430fa8287aa19,contractor@navjoyinc.com,2021-03-01T13:45:14.815Z,contractor@navjoyinc.com,2021-03-01T13:45:14.815Z,,,,,,,,,,,,,,,,
55,ConstructionWorkZone-96cce669-b1b4-4fa9-8fc4-69d73b2a46d1,603cf10e8b7430fa8287b14e,contractor@navjoyinc.com,2021-03-01T14:10:10.583Z,contractor@navjoyinc.com,2021-03-01T14:10:10.583Z,,,,,,,,,,,,,,,,
56,ConstructionWorkZone-61d5de9f-909d-43ef-beed-8c0d2e4d67dd,603cf4958b7430fa8287c3e0,contractor@navjoyinc.com,2021-03-01T14:20:12.828Z,contractor@navjoyinc.com,2021-03-01T14:20:12.828Z,,,,,,,,,,,,,,,,
57,ConstructionWorkZone-54581da3-05da-4a9a-bee4-069abd04f03b,603cf5c28b7430fa8287c9f2,contractor@navjoyinc.com,2021-03-02T01:50:12.230Z,contractor@navjoyinc.com,2021-03-02T01:50:12.230Z,,,,,,,,,,,,,,,,
58,ConstructionWorkZone-f34257fb-6367-4643-8396-bc3cc6477d1c,603cfa778b7430fa8288032c,contractor@navjoyinc.com,2021-03-01T19:45:08.395Z,contractor@navjoyinc.com,2021-03-01T19:45:08.395Z,,,,,,,,,,,,,,,,
59,ConstructionWorkZone-84018727-1952-497b-85db-30871df4a77d,603cfa778b7430fa8288037c,contractor@navjoyinc.com,2021-03-02T00:10:09.762Z,contractor@navjoyinc.com,2021-03-02T00:10:09.762Z,,,,,,,,,,,,,,,,
60,ConstructionWorkZone-44e88cd7-3f0a-476f-bb9c-42fe7184909f,603cfcc78b7430fa828814e8,contractor@navjoyinc.com,2021-03-01T18:55:06.808Z,contractor@navjoyinc.com,2021-03-01T18:55:06.808Z,,,,,,,,,,,,,,,,
61,ConstructionWorkZone-9c8a2791-9ecc-4b85-b7df-8e8f37286ffd,603cff218b7430fa82882270,contractor@navjoyinc.com,2021-03-01T15:05:13.339Z,contractor@navjoyinc.com,2021-03-01T15:05:13.339Z,,,,,,,,,,,,,,,,
62,ConstructionWorkZone-b426c569-9ee5-4a6c-89fb-16ff45797ddc,603cff218b7430fa82882274,contractor@navjoyinc.com,2021-03-01T14:50:09.782Z,contractor@navjoyinc.com,2021-03-01T14:50:09.782Z,,,,,,,,,,,,,,,,
63,ConstructionWorkZone-588a4dc5-60b8-42cf-851d-a302a0841484,603d00518b7430fa82882957,contractor@navjoyinc.com,2021-03-01T15:00:12.079Z,contractor@navjoyinc.com,2021-03-01T15:00:12.079Z,,,,,,,,,,,,,,,,
64,ConstructionWorkZone-b4fa2a9c-3f23-4f38-a136-9999d807ba64,603d03d68b7430fa8288538b,contractor@navjoyinc.com,2021-03-01T15:30:09.292Z,contractor@navjoyinc.com,2021-03-01T15:30:09.292Z,,,,,,,,,,,,,,,,
65,ConstructionWorkZone-f6cdae07-c1a0-45a7-bf8d-382bcb3e7f72,603d04f98b7430fa82885d02,contractor@navjoyinc.com,2021-03-01T15:30:09.292Z,contractor@navjoyinc.com,2021-03-01T15:30:09.292Z,,,,,,,,,,,,,,,,
66,ConstructionWorkZone-8d591fc9-e81f-4fcd-a6d7-2cd9759f3364,603d06268b7430fa828864de,contractor@navjoyinc.com,2021-03-01T15:20:06.790Z,contractor@navjoyinc.com,2021-03-01T15:20:06.790Z,,,,,,,,,,,,,,,,
67,ConstructionWorkZone-0bd3d196-945e-4bfa-835e-7a1aa5d38479,603d06268b7430fa82886555,contractor@navjoyinc.com,2021-03-01T15:50:13.836Z,contractor@navjoyinc.com,2021-03-01T15:50:13.836Z,,,,,,,,,,,,,,,,
68,ConstructionWorkZone-a232dc5f-1ba4-4c7c-858e-531df474dbfe,603d07548b7430fa82886f35,contractor@navjoyinc.com,2021-03-01T19:10:10.371Z,contractor@navjoyinc.com,2021-03-01T19:10:10.371Z,,,,,,,,,,,,,,,,
69,ConstructionWorkZone-81ae26c9-f19a-4852-9799-99f412682ad0,603d09ae8b7430fa828881ac,contractor@navjoyinc.com,2021-03-01T15:40:11.400Z,contractor@navjoyinc.com,2021-03-01T15:40:11.400Z,,,,,,,,,,,,,,,,
70,ConstructionWorkZone-90d0abe8-e810-4634-98d0-daed5c138a58,603d09ae8b7430fa828881b2,contractor@navjoyinc.com,2021-03-01T15:50:13.837Z,contractor@navjoyinc.com,2021-03-01T15:50:13.837Z,,,,,,,,,,,,,,,,
71,ConstructionWorkZone-7a9c905a-81f2-4029-9129-e9c731a234bf,603d0c088b7430fa828892a1,contractor@navjoyinc.com,2021-03-01T16:00:06.068Z,contractor@navjoyinc.com,2021-03-01T16:00:06.068Z,,,,,,,,,,,,,,,,
72,ConstructionWorkZone-40390d4c-efe6-40fe-9e9c-81e4e2736a2d,603d0e638b7430fa8288a1ab,contractor@navjoyinc.com,2021-03-01T18:50:05.667Z,contractor@navjoyinc.com,2021-03-01T18:50:05.667Z,,,,,,,,,,,,,,,,
73,ConstructionWorkZone-35e584bf-abc4-4a19-92d4-dcbb826e3ec8,603d0e638b7430fa8288a1cc,contractor@navjoyinc.com,2021-03-01T16:15:09.589Z,contractor@navjoyinc.com,2021-03-01T16:15:09.589Z,,,,,,,,,,,,,,,,
74,ConstructionWorkZone-b554112e-c339-415f-945d-85343dda7a5d,603d10b38b7430fa8288b83c,contractor@navjoyinc.com,2021-03-01T22:40:10.572Z,contractor@navjoyinc.com,2021-03-01T22:40:10.572Z,,,,,,,,,,,,,,,,
75,ConstructionWorkZone-f0157586-9918-4858-a2c2-bf6099c0a880,603d143a8b7430fa8289507c,contractor@navjoyinc.com,2021-03-01T16:35:14.298Z,contractor@navjoyinc.com,2021-03-01T16:35:14.298Z,,,,,,,,,,,,,,,,
76,ConstructionWorkZone-f9279823-7585-4b4d-b592-3f6380a93905,603d15688b7430fa828966b0,contractor@navjoyinc.com,2021-03-01T16:30:13.155Z,contractor@navjoyinc.com,2021-03-01T16:30:13.155Z,,,,,,,,,,,,,,,,
77,ConstructionWorkZone-112688b8-8cc4-40f9-9e3a-a16c3a23fa11,603d16958b7430fa82896d60,contractor@navjoyinc.com,2021-03-01T17:10:12.342Z,contractor@navjoyinc.com,2021-03-01T17:10:12.342Z,,,,,,,,,,,,,,,,
78,ConstructionWorkZone-2af0d322-f65f-4e5d-a2ec-a29db18a32b3,603d17c28b7430fa828978e8,contractor@navjoyinc.com,2021-03-01T16:40:05.611Z,contractor@navjoyinc.com,2021-03-01T16:40:05.611Z,,,,,,,,,,,,,,,,
79,ConstructionWorkZone-f0b065ea-8149-40ad-8b74-2083372dca96,603d17c28b7430fa82897933,contractor@navjoyinc.com,2021-03-01T16:50:10.506Z,contractor@navjoyinc.com,2021-03-01T16:50:10.506Z,,,,,,,,,,,,,,,,
80,ConstructionWorkZone-78eeb5fc-ab74-4759-b8aa-a25b2bdac340,603d18e58b7430fa828981bd,contractor@navjoyinc.com,2021-03-01T16:55:08.977Z,contractor@navjoyinc.com,2021-03-01T16:55:08.977Z,,,,,,,,,,,,,,,,
81,ConstructionWorkZone-cb747fb4-ea59-4d95-a69b-9d88cd80a033,603d1a128b7430fa82899682,contractor@navjoyinc.com,2021-03-01T17:50:11.707Z,contractor@navjoyinc.com,2021-03-01T17:50:11.707Z,,,,,,,,,,,,,,,,
82,ConstructionWorkZone-6fa806b1-fe32-4573-b7a3-0eae547a64cf,603d1c6d8b7430fa8289bf60,contractor@navjoyinc.com,2021-03-01T19:05:09.227Z,contractor@navjoyinc.com,2021-03-01T19:05:09.227Z,,,,,,,,,,,,,,,,
83,ConstructionWorkZone-efd3bd72-16b1-49ce-90f8-cf82b7a2b003,603d1c6d8b7430fa8289bf6e,contractor@navjoyinc.com,2021-03-01T17:00:10.207Z,contractor@navjoyinc.com,2021-03-01T17:00:10.207Z,,,,,,,,,,,,,,,,
